district_id,district_name,attendance_rate,chronic_absenteeism_rate,dropout_rate,student_count,econ_disadv_pct,eb_el_pct,special_ed_pct,at_risk_pct,hispanic_pct,african_american_pct,white_pct,math_meets_pct,reading_meets_pct
015842,ROYAL PUBLIC SCHOOLS,91.7,31.7,,469,84.9,16.2,16.4,65.2,86.6,3.2,7.2,16.0,27.0
015843,PRELUDE PREPARATORY CHARTER SCHOOL,93.3,30.1,,162,91.4,12.3,20.4,61.1,92.0,3.1,2.5,43.0,49.0
015844,ESSENCE PREPARATORY CHARTER SCHOOL,89.3,41.8,,365,99.5,1.4,9.6,23.0,26.6,70.7,1.4,10.0,27.0
015845,CELEBRATE DYSLEXIA SCHOOLS,,,,61,27.9,1.6,52.5,72.1,70.5,1.6,21.3,,
015901,ALAMO HEIGHTS ISD,95.2,10.2,0.7,4735,19.6,8.8,14.2,25.6,42.0,2.0,50.2,61.0,73.0
015904,HARLANDALE ISD,90.0,36.2,1.8,11531,86.5,21.7,14.3,78.3,97.4,0.4,1.9,28.0,38.0
015905,EDGEWOOD ISD,86.0,51.2,5.9,7838,93.8,25.2,15.6,77.4,96.4,1.2,1.0,23.0,29.0
015906,RANDOLPH FIELD ISD,96.3,4.7,0.0,1426,7.6,0.7,9.2,2.7,31.8,15.6,36.9,67.0,79.0
015907,SAN ANTONIO ISD,89.0,37.7,2.0,44011,86.9,25.2,18.1,66.3,89.8,5.4,3.2,27.0,37.0
015908,SOUTH SAN ANTONIO ISD,91.0,32.4,3.2,7467,91.6,23.0,16.9,82.9,94.0,1.3,3.8,25.0,34.0
015909,SOMERSET ISD,91.7,28.9,1.3,4236,81.5,22.4,15.9,54.3,92.8,0.3,5.9,50.0,56.0
015910,NORTH EAST ISD,93.4,20.3,2.7,56155,50.8,20.8,17.1,55.0,63.5,6.3,21.4,48.0,59.0
015911,EAST CENTRAL ISD,91.3,31.5,2.5,11484,70.1,13.5,16.9,56.1,73.3,10.8,12.2,28.0,41.0
015912,SOUTHWEST ISD,91.8,28.2,0.6,14811,82.6,19.1,19.4,70.9,89.3,4.2,4.5,32.0,46.0
015913,LACKLAND ISD,95.2,11.4,0.0,1010,13.2,2.3,14.7,18.2,31.4,13.9,38.8,49.0,67.0
015914,FT SAM HOUSTON ISD,95.7,9.2,0.0,1614,22.2,2.8,17.3,33.5,33.1,16.1,35.5,59.0,77.0
015915,NORTHSIDE ISD,93.4,19.7,1.0,99729,49.9,13.7,17.2,53.1,68.3,7.1,15.4,40.0,55.0
015916,JUDSON ISD,92.3,25.2,3.1,23505,71.8,13.7,19.9,69.1,59.7,21.3,12.0,28.0,43.0
015917,SOUTHSIDE ISD,91.3,31.3,1.6,6086,87.0,24.8,19.3,67.5,91.8,1.4,5.7,42.0,43.0
016901,JOHNSON CITY ISD,94.5,14.8,0.0,704,30.7,8.4,17.3,31.3,28.1,0.0,68.9,49.0,66.0
016902,BLANCO ISD,94.6,14.6,0.0,1098,44.0,10.6,17.3,30.6,40.3,0.7,54.8,42.0,55.0
017901,BORDEN COUNTY ISD,95.5,6.3,0.0,249,29.3,0.4,11.6,23.3,28.5,0.0,70.7,68.0,71.0
018901,CLIFTON ISD,95.1,11.2,0.0,1000,59.2,9.9,20.7,40.5,36.9,2.4,55.9,46.0,60.0
018902,MERIDIAN ISD,94.5,16.5,0.0,380,76.1,5.3,20.3,53.4,37.4,2.1,54.5,16.0,42.0
018903,MORGAN ISD,94.5,18.8,0.0,136,85.3,20.6,22.1,64.7,64.7,0.0,30.9,17.0,29.0
018904,VALLEY MILLS ISD,96.0,7.8,0.5,669,48.7,9.4,20.8,48.6,29.0,1.9,64.1,45.0,49.0
018905,WALNUT SPRINGS ISD,94.2,15.6,1.6,165,84.2,29.1,15.2,53.3,60.0,0.0,38.2,17.0,30.0
018906,IREDELL ISD,96.7,4.5,0.0,144,69.4,0.0,20.8,34.7,35.4,0.0,64.6,39.0,65.0
018907,KOPPERL ISD,93.9,22.0,0.0,191,67.0,2.1,22.5,14.7,14.1,1.0,81.7,22.0,42.0
